transaction_id,date,posting_date,merchant_raw,merchant_normalized,amount,currency,direction,predicted_category,final_category,effective_category,confidence,label_source,receipt_id,matched_transaction_id,match_score,evidence_pointers,source,source_record_id,pipeline_version,run_id
bank:showcase_demo_transactions:1,2026-02-01,2026-02-01,STARBUCKS COFFEE,starbucks,12.5,USD,expense,Meals & Entertainment,,Meals & Entertainment,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:1,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:2,2026-02-02,2026-02-02,HOME DEPOT,home depot,188.4,USD,expense,Repairs & Maintenance,,Repairs & Maintenance,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:2,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:3,2026-02-03,2026-02-03,ADOBE SUBSCRIPTION,adobe,54.99,USD,expense,Equipment & Software,,Equipment & Software,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:3,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:4,2026-02-04,2026-02-04,UBER TRIP,uber,22.1,USD,expense,Travel,,Travel,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:4,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:5,2026-02-05,2026-02-05,STATE FARM INSURANCE,state farm insurance,210.0,USD,expense,Insurance,,Insurance,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:5,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:6,2026-02-06,2026-02-06,SHELL OIL 575213,shell,48.23,USD,expense,Vehicle Expenses,,Vehicle Expenses,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:6,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:7,2026-02-07,2026-02-07,WHOLE FOODS MARKET,whole foods,96.17,USD,expense,Other Expense,,Other Expense,0.3,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:7,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:8,2026-02-08,2026-02-08,DELTA AIR LINES,delta air lines,342.8,USD,expense,Travel,,Travel,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:8,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:9,2026-02-09,2026-02-09,GOOGLE WORKSPACE,google,14.4,USD,expense,Equipment & Software,,Equipment & Software,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:9,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:10,2026-02-10,2026-02-10,FEDEX OFFICE,fedex office,67.55,USD,expense,Office Supplies,,Office Supplies,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:10,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:11,2026-02-11,2026-02-11,GUSTO PAYROLL,gusto payroll,1850.0,USD,expense,Payroll & Contractors,,Payroll & Contractors,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:11,product_demo_v1,pipeline_20260427T193002Z
bank:showcase_demo_transactions:12,2026-02-12,2026-02-12,STRIPE TRANSFER,transfer,2450.0,USD,income,Financial Fees,,Financial Fees,0.9,ml,,,,"[""[\""bank_transaction\""]""]",bank,bank:showcase_demo_transactions:12,product_demo_v1,pipeline_20260427T193002Z
