transaction_id,posting_date,account,debit,credit,memo,entity,source,evidence,label_source,pipeline_version,run_id
bank:showcase_demo_transactions:1,2026-02-01,Bank Clearing,8000.00,,OPENING BALANCE,OPENING BALANCE,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:1,2026-02-01,Income,,8000.00,OPENING BALANCE,OPENING BALANCE,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:2,2026-02-01,Meals & Entertainment,12.50,,STARBUCKS COFFEE,STARBUCKS COFFEE,bank,"evidence:[""bank_transaction""] | reason:keyword:starbucks",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:2,2026-02-01,Bank Clearing,,12.50,STARBUCKS COFFEE,STARBUCKS COFFEE,bank,"evidence:[""bank_transaction""] | reason:keyword:starbucks",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:3,2026-02-02,Repairs & Maintenance,188.40,,HOME DEPOT,HOME DEPOT,bank,"evidence:[""bank_transaction""] | reason:keyword:home_depot",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:3,2026-02-02,Bank Clearing,,188.40,HOME DEPOT,HOME DEPOT,bank,"evidence:[""bank_transaction""] | reason:keyword:home_depot",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:4,2026-02-03,Equipment & Software,54.99,,ADOBE SUBSCRIPTION,ADOBE SUBSCRIPTION,bank,"evidence:[""bank_transaction""] | reason:keyword:adobe",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:4,2026-02-03,Bank Clearing,,54.99,ADOBE SUBSCRIPTION,ADOBE SUBSCRIPTION,bank,"evidence:[""bank_transaction""] | reason:keyword:adobe",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:5,2026-02-04,Travel,22.10,,UBER TRIP,UBER TRIP,bank,"evidence:[""bank_transaction""] | reason:keyword:uber",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:5,2026-02-04,Bank Clearing,,22.10,UBER TRIP,UBER TRIP,bank,"evidence:[""bank_transaction""] | reason:keyword:uber",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:6,2026-02-05,Insurance,210.00,,STATE FARM INSURANCE,STATE FARM INSURANCE,bank,"evidence:[""bank_transaction""] | reason:keyword:insurance",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:6,2026-02-05,Bank Clearing,,210.00,STATE FARM INSURANCE,STATE FARM INSURANCE,bank,"evidence:[""bank_transaction""] | reason:keyword:insurance",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:7,2026-02-05,Bank Clearing,2450.00,,STRIPE TRANSFER,STRIPE TRANSFER,bank,"evidence:[""bank_transaction""] | reason:keyword:nsf",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:7,2026-02-05,Income,,2450.00,STRIPE TRANSFER,STRIPE TRANSFER,bank,"evidence:[""bank_transaction""] | reason:keyword:nsf",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:8,2026-02-06,Office Supplies,86.73,,OFFICE DEPOT,OFFICE DEPOT,bank,"evidence:[""bank_transaction""] | reason:off_high:office_depot",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:8,2026-02-06,Bank Clearing,,86.73,OFFICE DEPOT,OFFICE DEPOT,bank,"evidence:[""bank_transaction""] | reason:off_high:office_depot",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:9,2026-02-06,Equipment & Software,14.40,,GOOGLE WORKSPACE,GOOGLE WORKSPACE,bank,"evidence:[""bank_transaction""] | reason:eqs_high:google_workspace",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:9,2026-02-06,Bank Clearing,,14.40,GOOGLE WORKSPACE,GOOGLE WORKSPACE,bank,"evidence:[""bank_transaction""] | reason:eqs_high:google_workspace",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:10,2026-02-07,Other Expense,47.85,,SWEET HUT BAKERY,SWEET HUT BAKERY,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:10,2026-02-07,Bank Clearing,,47.85,SWEET HUT BAKERY,SWEET HUT BAKERY,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:11,2026-02-07,Financial Fees,18.20,,DANCING GOATS COFFEE,DANCING GOATS COFFEE,bank,"evidence:[""bank_transaction""] | reason:financial_medium:fee",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:11,2026-02-07,Bank Clearing,,18.20,DANCING GOATS COFFEE,DANCING GOATS COFFEE,bank,"evidence:[""bank_transaction""] | reason:financial_medium:fee",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:12,2026-02-08,Office Supplies,67.55,,FEDEX OFFICE,FEDEX OFFICE,bank,"evidence:[""bank_transaction""] | reason:keyword:fedex",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:12,2026-02-08,Bank Clearing,,67.55,FEDEX OFFICE,FEDEX OFFICE,bank,"evidence:[""bank_transaction""] | reason:keyword:fedex",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:13,2026-02-08,Vehicle Expenses,48.23,,SHELL OIL 575213,SHELL OIL 575213,bank,"evidence:[""bank_transaction""] | reason:keyword:shell",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:13,2026-02-08,Bank Clearing,,48.23,SHELL OIL 575213,SHELL OIL 575213,bank,"evidence:[""bank_transaction""] | reason:keyword:shell",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:14,2026-02-09,Payroll & Contractors,1850.00,,GUSTO PAYROLL,GUSTO PAYROLL,bank,"evidence:[""bank_transaction""] | reason:keyword:payroll",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:14,2026-02-09,Bank Clearing,,1850.00,GUSTO PAYROLL,GUSTO PAYROLL,bank,"evidence:[""bank_transaction""] | reason:keyword:payroll",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:15,2026-02-09,Travel,342.80,,DELTA AIR LINES,DELTA AIR LINES,bank,"evidence:[""bank_transaction""] | reason:keyword:delta",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:15,2026-02-09,Bank Clearing,,342.80,DELTA AIR LINES,DELTA AIR LINES,bank,"evidence:[""bank_transaction""] | reason:keyword:delta",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:16,2026-02-10,Other Expense,96.17,,WHOLE FOODS MARKET,WHOLE FOODS MARKET,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:16,2026-02-10,Bank Clearing,,96.17,WHOLE FOODS MARKET,WHOLE FOODS MARKET,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:17,2026-02-10,Rent & Utilities,129.99,,COMCAST BUSINESS,COMCAST BUSINESS,bank,"evidence:[""bank_transaction""] | reason:keyword:comcast",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:17,2026-02-10,Bank Clearing,,129.99,COMCAST BUSINESS,COMCAST BUSINESS,bank,"evidence:[""bank_transaction""] | reason:keyword:comcast",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:18,2026-02-11,Advertising & Marketing,39.00,,MAILCHIMP,MAILCHIMP,bank,"evidence:[""bank_transaction""] | reason:mkt_high:mailchimp",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:18,2026-02-11,Bank Clearing,,39.00,MAILCHIMP,MAILCHIMP,bank,"evidence:[""bank_transaction""] | reason:mkt_high:mailchimp",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:19,2026-02-11,Bank Clearing,1180.00,,SQUARE DEPOSIT,SQUARE DEPOSIT,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:19,2026-02-11,Income,,1180.00,SQUARE DEPOSIT,SQUARE DEPOSIT,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:20,2026-02-12,Other Expense,123.44,,AMAZON BUSINESS,AMAZON BUSINESS,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:20,2026-02-12,Bank Clearing,,123.44,AMAZON BUSINESS,AMAZON BUSINESS,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
